# Wavelength(um),Tapvolt(V),Power(W)
1.500000000000000038e-06,2.149055368473458127e-01,9.982076470000000173e-03
1.501000000000000113e-06,2.153853195316163815e-01,1.035895109999999952e-02
1.502000000000000188e-06,2.163352248464534278e-01,1.070959399999999936e-02
1.503000000000000263e-06,2.213809930861111996e-01,1.119676510000000048e-02
1.504000000000000339e-06,2.167393371076546116e-01,1.148413310000000014e-02
1.505000000000000414e-06,2.129864061114699336e-01,1.177378089999999919e-02
1.506000000000000489e-06,2.155575904954612487e-01,1.218330389999999937e-02
1.507000000000000564e-06,2.249680931703252895e-01,1.272509429999999983e-02
1.508000000000000639e-06,2.259840088597171726e-01,1.311748010000000041e-02
1.509000000000000714e-06,2.231761531363711526e-01,1.342040859999999933e-02
1.510000000000000789e-06,2.197822541369871541e-01,1.374383180000000003e-02
1.511000000000000864e-06,2.202942370027228813e-01,1.409835459999999978e-02
1.512000000000000940e-06,2.265909822592039602e-01,1.457862839999999986e-02
1.513000000000001015e-06,2.263768510598861416e-01,1.493002099999999992e-02
1.514000000000001090e-06,2.286002735141210995e-01,1.532659869999999924e-02
1.515000000000001165e-06,2.224709691881697760e-01,1.559271379999999964e-02
1.516000000000001240e-06,2.275135174264425741e-01,1.603744370000000086e-02
1.517000000000001315e-06,2.251886644055360043e-01,1.634957080000000104e-02
1.518000000000001390e-06,2.294793384388521540e-01,1.674727349999999976e-02
1.519000000000001465e-06,2.304099236526815364e-01,1.713677679999999967e-02
1.520000000000001541e-06,2.330245783045516161e-01,1.749926619999999863e-02
1.521000000000001616e-06,2.337845025637048380e-01,1.784133170000000088e-02
1.522000000000001691e-06,2.250566436662092273e-01,1.801848229999999940e-02
1.523000000000001766e-06,2.315256599045149299e-01,1.848310599999999915e-02
1.524000000000001841e-06,2.326526662202069717e-01,1.883375090000000140e-02
1.525000000000001916e-06,2.381186468616827423e-01,1.922515970000000102e-02
1.526000000000001991e-06,2.297369398820775233e-01,1.942504200000000000e-02
1.527000000000002066e-06,2.330616085120784109e-01,1.976826790000000070e-02
1.528000000000002142e-06,2.367436991522936240e-01,2.016643060000000015e-02
1.529000000000002217e-06,2.361496058215373783e-01,2.046076210000000173e-02
1.530000000000002292e-06,2.401424282111209174e-01,2.082619629999999875e-02
1.531000000000002367e-06,2.376082739998665871e-01,2.113191780000000033e-02
1.532000000000002442e-06,2.382055873491963349e-01,2.143741210000000078e-02
1.533000000000002517e-06,2.328957775826855925e-01,2.164375600000000011e-02
1.534000000000002592e-06,2.363267068144255523e-01,2.198986149999999917e-02
1.535000000000002668e-06,2.439388295080331392e-01,2.243982809999999981e-02
1.536000000000002743e-06,2.422483200236011380e-01,2.270350230000000094e-02
1.537000000000002818e-06,2.409216725817856508e-01,2.295883370000000034e-02
1.538000000000002893e-06,2.375197235033631726e-01,2.320813019999999963e-02
1.539000000000002968e-06,2.475999900545187704e-01,2.366030220000000031e-02
1.540000000000003043e-06,2.496141113612829754e-01,2.398312650000000018e-02
1.541000000000003118e-06,2.479380919523452020e-01,2.420924790000000132e-02
1.542000000000003193e-06,2.492083890834558002e-01,2.450271700000000025e-02
1.543000000000003269e-06,2.460785315150715857e-01,2.473415429999999832e-02
1.544000000000003344e-06,2.484307547179063491e-01,2.504954859999999894e-02
1.545000000000003419e-06,2.454779981448643456e-01,2.526366520000000032e-02
1.546000000000003494e-06,2.529532701120405513e-01,2.560047429999999860e-02
1.547000000000003569e-06,2.542396673375777461e-01,2.592492290000000116e-02
1.548000000000003644e-06,2.555550447269651082e-01,2.618825619999999924e-02
1.549000000000003719e-06,2.518343138278591464e-01,2.633230950000000140e-02
1.550000000000003794e-06,2.497252019849854621e-01,2.656611609999999860e-02
1.551000000000003870e-06,2.529162399040701392e-01,2.687040339999999944e-02
1.552000000000003945e-06,2.542831375817600770e-01,2.714522930000000042e-02
1.553000000000004020e-06,2.565677404167322484e-01,2.739409170000000129e-02
1.554000000000004095e-06,2.523189265494083511e-01,2.756498749999999887e-02
1.555000000000004170e-06,2.479992722957825302e-01,2.770745009999999939e-02
1.556000000000004245e-06,2.489701077457421030e-01,2.797483840000000027e-02
1.557000000000004320e-06,2.494885306562280303e-01,2.821650909999999859e-02
1.558000000000004395e-06,2.538597052032647849e-01,2.845570450000000154e-02
1.559000000000004471e-06,2.550672119863415244e-01,2.874961310000000159e-02
1.560000000000004546e-06,2.561185478928850179e-01,2.897150260000000074e-02
1.561000000000004621e-06,2.502404048776464829e-01,2.904968340000000163e-02
1.562000000000004696e-06,2.498910329160476951e-01,2.925894039999999904e-02
1.563000000000004771e-06,2.532140915769658385e-01,2.953318129999999916e-02
1.564000000000004846e-06,2.573308847048295656e-01,2.979623340000000023e-02
1.565000000000004921e-06,2.605637828746872886e-01,2.996262540000000155e-02
1.566000000000004997e-06,2.537276844617062932e-01,3.007020989999999866e-02
1.567000000000005072e-06,2.555051344465624763e-01,3.027264589999999894e-02
1.568000000000005147e-06,2.557128256133983646e-01,3.043192809999999832e-02
1.569000000000005222e-06,2.617165493552234268e-01,3.068610089999999901e-02
1.570000000000005297e-06,2.672453204486539002e-01,3.085575070000000017e-02
