# Wavelength(um),Tapvolt(V),Power(W)
1.50E-06,2.35E-01,7.72E-03
1.50E-06,2.33E-01,7.99E-03
1.50E-06,2.37E-01,8.31E-03
1.50E-06,2.41E-01,8.64E-03
1.50E-06,2.40E-01,8.91E-03
1.51E-06,2.30E-01,9.06E-03
1.51E-06,2.36E-01,9.40E-03
1.51E-06,2.45E-01,9.81E-03
1.51E-06,2.46E-01,1.01E-02
1.51E-06,2.42E-01,1.03E-02
1.51E-06,2.39E-01,1.06E-02
1.51E-06,2.43E-01,1.09E-02
1.51E-06,2.44E-01,1.12E-02
1.51E-06,2.46E-01,1.15E-02
1.51E-06,2.47E-01,1.18E-02
1.52E-06,2.45E-01,1.20E-02
1.52E-06,2.47E-01,1.23E-02
1.52E-06,2.42E-01,1.25E-02
1.52E-06,2.49E-01,1.28E-02
1.52E-06,2.51E-01,1.32E-02
1.52E-06,2.54E-01,1.34E-02
1.52E-06,2.52E-01,1.36E-02
1.52E-06,2.45E-01,1.38E-02
1.52E-06,2.50E-01,1.41E-02
1.52E-06,2.49E-01,1.44E-02
1.53E-06,2.57E-01,1.47E-02
1.53E-06,2.50E-01,1.49E-02
1.53E-06,2.53E-01,1.51E-02
1.53E-06,2.53E-01,1.54E-02
1.53E-06,2.52E-01,1.56E-02
1.53E-06,2.59E-01,1.59E-02
1.53E-06,2.57E-01,1.61E-02
1.53E-06,2.57E-01,1.64E-02
1.53E-06,2.48E-01,1.65E-02
1.53E-06,2.56E-01,1.68E-02
1.54E-06,2.60E-01,1.71E-02
1.54E-06,2.60E-01,1.73E-02
1.54E-06,2.58E-01,1.75E-02
1.54E-06,2.59E-01,1.77E-02
1.54E-06,2.64E-01,1.80E-02
1.54E-06,2.65E-01,1.82E-02
1.54E-06,2.66E-01,1.85E-02
1.54E-06,2.67E-01,1.86E-02
1.54E-06,2.67E-01,1.89E-02
1.54E-06,2.65E-01,1.91E-02
1.55E-06,2.62E-01,1.92E-02
1.55E-06,2.70E-01,1.95E-02
1.55E-06,2.71E-01,1.97E-02
1.55E-06,2.73E-01,1.99E-02
1.55E-06,2.68E-01,2.00E-02
1.55E-06,2.70E-01,2.02E-02
1.55E-06,2.69E-01,2.04E-02
1.55E-06,2.69E-01,2.06E-02
1.55E-06,2.73E-01,2.08E-02
1.55E-06,2.70E-01,2.09E-02
1.56E-06,2.69E-01,2.11E-02
1.56E-06,2.61E-01,2.12E-02
1.56E-06,2.64E-01,2.14E-02
1.56E-06,2.71E-01,2.16E-02
1.56E-06,2.71E-01,2.18E-02
1.56E-06,2.72E-01,2.20E-02
1.56E-06,2.67E-01,2.20E-02
1.56E-06,2.67E-01,2.22E-02
1.56E-06,2.69E-01,2.24E-02
1.56E-06,2.69E-01,2.25E-02
1.57E-06,2.76E-01,2.27E-02
1.57E-06,2.72E-01,2.28E-02
1.57E-06,2.72E-01,2.29E-02
1.57E-06,2.68E-01,2.30E-02
1.57E-06,2.75E-01,2.32E-02
1.57E-06,2.83E-01,2.34E-02
1.57E-06,2.85E-01,2.35E-02
1.57E-06,2.83E-01,2.36E-02
1.57E-06,2.74E-01,2.36E-02
1.57E-06,2.72E-01,2.36E-02
1.58E-06,2.80E-01,2.38E-02
1.58E-06,2.83E-01,2.39E-02
1.58E-06,2.82E-01,2.40E-02
1.58E-06,2.76E-01,2.39E-02
1.58E-06,2.77E-01,2.40E-02
1.58E-06,2.78E-01,2.41E-02
1.58E-06,2.80E-01,2.42E-02
1.58E-06,2.82E-01,2.42E-02
1.58E-06,2.83E-01,2.43E-02
1.58E-06,2.81E-01,2.43E-02
1.59E-06,2.74E-01,2.42E-02
1.59E-06,2.72E-01,2.41E-02
1.59E-06,2.76E-01,2.42E-02
1.59E-06,2.83E-01,2.43E-02
1.59E-06,2.83E-01,2.43E-02
1.59E-06,2.84E-01,2.43E-02
1.59E-06,2.85E-01,2.42E-02
1.59E-06,2.82E-01,2.41E-02
1.59E-06,2.83E-01,2.41E-02
1.59E-06,2.84E-01,2.40E-02
1.60E-06,2.89E-01,2.39E-02
1.60E-06,2.90E-01,2.39E-02
1.60E-06,2.81E-01,2.37E-02
1.60E-06,2.83E-01,2.35E-02
1.60E-06,2.89E-01,2.35E-02
1.60E-06,2.89E-01,2.34E-02
1.60E-06,2.92E-01,2.33E-02
1.60E-06,2.90E-01,2.31E-02
1.60E-06,2.89E-01,2.29E-02
1.60E-06,2.85E-01,2.26E-02
1.61E-06,2.79E-01,2.23E-02
1.61E-06,2.89E-01,2.22E-02
1.61E-06,2.92E-01,2.20E-02
1.61E-06,2.91E-01,2.16E-02
1.61E-06,2.84E-01,2.13E-02
1.61E-06,2.80E-01,2.09E-02
1.61E-06,2.86E-01,2.06E-02
1.61E-06,2.89E-01,2.03E-02
1.61E-06,2.90E-01,1.99E-02
1.61E-06,2.90E-01,1.95E-02
1.62E-06,2.82E-01,1.89E-02
1.62E-06,2.74E-01,1.82E-02
1.62E-06,2.70E-01,1.77E-02
1.62E-06,2.71E-01,1.70E-02
1.62E-06,2.74E-01,1.67E-02
1.62E-06,2.65E-01,1.59E-02
