# Wavelength(um),Tapvolt(V),Power(W)
1.500000000000000038e-06,2.146339283278181909e-01,1.418630360000000014e-03
1.501000000000000113e-06,2.155226533001118605e-01,1.424501529999999943e-03
1.502000000000000188e-06,2.164991237635372212e-01,1.436064140000000008e-03
1.503000000000000263e-06,2.208796362795655277e-01,1.462143609999999897e-03
1.504000000000000339e-06,2.163762800761729332e-01,1.431471439999999892e-03
1.505000000000000414e-06,2.130689995734717235e-01,1.409578369999999912e-03
1.506000000000000489e-06,2.162133471645055760e-01,1.425900259999999956e-03
1.507000000000000564e-06,2.251158919980028317e-01,1.486085820000000030e-03
1.508000000000000639e-06,2.257512015558890972e-01,1.490073389999999921e-03
1.509000000000000714e-06,2.225780347875883913e-01,1.470634599999999948e-03
1.510000000000000789e-06,2.193327396210262847e-01,1.448628609999999929e-03
1.511000000000000864e-06,2.203130741081643362e-01,1.454380340000000068e-03
1.512000000000000940e-06,2.261322906901854224e-01,1.491301459999999895e-03
1.513000000000001015e-06,2.262435423132660162e-01,1.490636729999999946e-03
1.514000000000001090e-06,2.281654100780709238e-01,1.506414960000000041e-03
1.515000000000001165e-06,2.222066057081114598e-01,1.463961319999999974e-03
1.516000000000001240e-06,2.272200127824363924e-01,1.501025399999999935e-03
1.517000000000001315e-06,2.250331375345748508e-01,1.487499800000000039e-03
1.518000000000001390e-06,2.290061567879175808e-01,1.507685400000000064e-03
1.519000000000001465e-06,2.302270266279198840e-01,1.516488959999999931e-03
1.520000000000001541e-06,2.328896595484028498e-01,1.529286379999999926e-03
1.521000000000001616e-06,2.338877041421390524e-01,1.533178260000000103e-03
1.522000000000001691e-06,2.237916595826873745e-01,1.463716149999999940e-03
1.523000000000001766e-06,2.313036396604045697e-01,1.515238080000000029e-03
1.524000000000001841e-06,2.322987862370022860e-01,1.517791299999999991e-03
1.525000000000001916e-06,2.378790775183275419e-01,1.546362300000000013e-03
1.526000000000001991e-06,2.298478695035783836e-01,1.495358650000000022e-03
1.527000000000002066e-06,2.335328581532693515e-01,1.510889739999999931e-03
1.528000000000002142e-06,2.366118394130105607e-01,1.527383920000000006e-03
1.529000000000002217e-06,2.348570905758048943e-01,1.517942179999999920e-03
1.530000000000002292e-06,2.400120174796962214e-01,1.549002019999999981e-03
1.531000000000002367e-06,2.379909731457621191e-01,1.537041270000000064e-03
1.532000000000002442e-06,2.378463943350643817e-01,1.535263150000000087e-03
1.533000000000002517e-06,2.323989287982123619e-01,1.499085569999999935e-03
1.534000000000002592e-06,2.364415004580069923e-01,1.522558509999999941e-03
1.535000000000002668e-06,2.438700821222923587e-01,1.570963070000000027e-03
1.536000000000002743e-06,2.421594475250436751e-01,1.562593390000000101e-03
1.537000000000002818e-06,2.410488632952196286e-01,1.554922079999999929e-03
1.538000000000002893e-06,2.380337993859058532e-01,1.539491930000000007e-03
1.539000000000002968e-06,2.473871468598019263e-01,1.598590640000000038e-03
1.540000000000003043e-06,2.492260991828832706e-01,1.608822960000000054e-03
1.541000000000003118e-06,2.471153773343787441e-01,1.594857309999999934e-03
1.542000000000003193e-06,2.493217337197893291e-01,1.610475240000000009e-03
1.543000000000003269e-06,2.469286162861314970e-01,1.593456719999999981e-03
1.544000000000003344e-06,2.481250140016185990e-01,1.604340159999999901e-03
1.545000000000003419e-06,2.447699161713804417e-01,1.584977380000000000e-03
1.546000000000003494e-06,2.524092480566588748e-01,1.629754090000000042e-03
1.547000000000003569e-06,2.543731370873147934e-01,1.644639409999999920e-03
1.548000000000003644e-06,2.555774238526904441e-01,1.647883090000000017e-03
1.549000000000003719e-06,2.523672268206657021e-01,1.625065460000000087e-03
1.550000000000003794e-06,2.497575631666795748e-01,1.609884900000000101e-03
1.551000000000003870e-06,2.523490337184936538e-01,1.628785860000000031e-03
1.552000000000003945e-06,2.530192804827967601e-01,1.634201849999999913e-03
1.553000000000004020e-06,2.560185663311438931e-01,1.653465329999999995e-03
1.554000000000004095e-06,2.527146667719619710e-01,1.634728860000000039e-03
1.555000000000004170e-06,2.489356535523144787e-01,1.607457870000000063e-03
1.556000000000004245e-06,2.485236522394050906e-01,1.609581869999999896e-03
1.557000000000004320e-06,2.489969948966769819e-01,1.616265860000000009e-03
1.558000000000004395e-06,2.533425702985905859e-01,1.648748179999999942e-03
1.559000000000004471e-06,2.550313087846391435e-01,1.662254329999999928e-03
1.560000000000004546e-06,2.565133221109675565e-01,1.673391549999999955e-03
1.561000000000004621e-06,2.497028228593411447e-01,1.633417089999999929e-03
1.562000000000004696e-06,2.497062038783266769e-01,1.630843029999999973e-03
1.563000000000004771e-06,2.530788508173743012e-01,1.654237509999999939e-03
1.564000000000004846e-06,2.565550213452651440e-01,1.679659700000000035e-03
1.565000000000004921e-06,2.605356077163056283e-01,1.705781319999999986e-03
1.566000000000004997e-06,2.537062713414316439e-01,1.662098799999999930e-03
