# Wavelength(um),Tapvolt770(V),SHGpower(mW)
1.500000000000000038e-06,2.352917930126019463e-01,7.724871860000000375e-03
1.501000000000000113e-06,2.327249556253421503e-01,7.994936779999999715e-03
1.502000000000000188e-06,2.371998147096321952e-01,8.308653719999999770e-03
1.503000000000000263e-06,2.412620284909118562e-01,8.641535420000000592e-03
1.504000000000000339e-06,2.399522861446909683e-01,8.909102530000000825e-03
1.505000000000000414e-06,2.300433245986643060e-01,9.063979609999999951e-03
1.506000000000000489e-06,2.355349043754531024e-01,9.396087379999999364e-03
1.507000000000000564e-06,2.450283226214229892e-01,9.806412270000000250e-03
1.508000000000000639e-06,2.457607157314563306e-01,1.010050810000000070e-02
1.509000000000000714e-06,2.424400720993252767e-01,1.031993609999999964e-02
1.510000000000000789e-06,2.390474610702051916e-01,1.056875659999999967e-02
1.511000000000000864e-06,2.430858467222445918e-01,1.089241910000000001e-02
1.512000000000000940e-06,2.443310277086603588e-01,1.117427089999999991e-02
1.513000000000001015e-06,2.457555637025425344e-01,1.146193969999999979e-02
1.514000000000001090e-06,2.474874504228087579e-01,1.176616460000000017e-02
1.515000000000001165e-06,2.452142786649368911e-01,1.200611889999999952e-02
1.516000000000001240e-06,2.466718198448286381e-01,1.230068129999999961e-02
1.517000000000001315e-06,2.423571566341699846e-01,1.253635529999999956e-02
1.518000000000001390e-06,2.489796067990643347e-01,1.283153889999999984e-02
1.519000000000001465e-06,2.509698999737606795e-01,1.315063520000000000e-02
1.520000000000001541e-06,2.536032307626648330e-01,1.342561649999999933e-02
1.521000000000001616e-06,2.524734874174403010e-01,1.364589949999999927e-02
1.522000000000001691e-06,2.453859056280626172e-01,1.382167360000000067e-02
1.523000000000001766e-06,2.503904577201702675e-01,1.413691790000000045e-02
1.524000000000001841e-06,2.494223592847262250e-01,1.437143140000000062e-02
1.525000000000001916e-06,2.569932658077117571e-01,1.468159439999999934e-02
1.526000000000001991e-06,2.504611371170260559e-01,1.487666460000000059e-02
1.527000000000002066e-06,2.526491394039391269e-01,1.511104220000000081e-02
1.528000000000002142e-06,2.529809622675813219e-01,1.536059289999999918e-02
1.529000000000002217e-06,2.524435412492553321e-01,1.561993639999999933e-02
1.530000000000002292e-06,2.587372276080785460e-01,1.588266530000000121e-02
1.531000000000002367e-06,2.574228162214275972e-01,1.614461840000000134e-02
1.532000000000002442e-06,2.571703668028593737e-01,1.636255160000000056e-02
1.533000000000002517e-06,2.479483960101921958e-01,1.646321270000000031e-02
1.534000000000002592e-06,2.558082991497988012e-01,1.679402400000000115e-02
1.535000000000002668e-06,2.597215871406457488e-01,1.707090810000000056e-02
1.536000000000002743e-06,2.600688660926687157e-01,1.728854510000000025e-02
1.537000000000002818e-06,2.578024563547959280e-01,1.748275200000000071e-02
1.538000000000002893e-06,2.593648091353120133e-01,1.774595489999999942e-02
1.539000000000002968e-06,2.642734047322813917e-01,1.798519120000000027e-02
1.540000000000003043e-06,2.648567110127874602e-01,1.824538040000000041e-02
1.541000000000003118e-06,2.664057007253795573e-01,1.845090840000000038e-02
1.542000000000003193e-06,2.673422429939219525e-01,1.863119560000000077e-02
1.543000000000003269e-06,2.669093115583884845e-01,1.888147739999999908e-02
1.544000000000003344e-06,2.647515774214992956e-01,1.905746200000000071e-02
1.545000000000003419e-06,2.616070687397171746e-01,1.919717530000000089e-02
1.546000000000003494e-06,2.703817790969978430e-01,1.948227170000000133e-02
1.547000000000003569e-06,2.710112926399784183e-01,1.970450389999999982e-02
1.548000000000003644e-06,2.734185781909642676e-01,1.989650730000000131e-02
1.549000000000003719e-06,2.683581587096560139e-01,2.001670380000000055e-02
1.550000000000003794e-06,2.695159162242596329e-01,2.023071419999999954e-02
1.551000000000003870e-06,2.694410508029704832e-01,2.040339080000000069e-02
1.552000000000003945e-06,2.685672988863991306e-01,2.060656060000000053e-02
1.553000000000004020e-06,2.734258232317569037e-01,2.080225570000000107e-02
1.554000000000004095e-06,2.697060582942625850e-01,2.093165550000000014e-02
1.555000000000004170e-06,2.687402138593458223e-01,2.109689080000000036e-02
1.556000000000004245e-06,2.605423697543198802e-01,2.116869390000000045e-02
1.557000000000004320e-06,2.640112952582563399e-01,2.139618249999999944e-02
1.558000000000004395e-06,2.712020787137945366e-01,2.160059469999999968e-02
1.559000000000004471e-06,2.707633512444994062e-01,2.180901169999999861e-02
1.560000000000004546e-06,2.724480647273104794e-01,2.198528500000000024e-02
1.561000000000004621e-06,2.669806349596184347e-01,2.202463149999999911e-02
1.562000000000004696e-06,2.665486695296171993e-01,2.220734950000000096e-02
1.563000000000004771e-06,2.688136302724457027e-01,2.236635420000000068e-02
1.564000000000004846e-06,2.689815542173351615e-01,2.251227009999999876e-02
1.565000000000004921e-06,2.758593519345559630e-01,2.271425720000000079e-02
1.566000000000004997e-06,2.716400011786905822e-01,2.279256660000000129e-02
1.567000000000005072e-06,2.715174794890505283e-01,2.294281869999999918e-02
1.568000000000005147e-06,2.684909844570098070e-01,2.304930239999999908e-02
1.569000000000005222e-06,2.750356712960866368e-01,2.318721820000000169e-02
1.570000000000005297e-06,2.829478998727439909e-01,2.335053499999999865e-02
1.571000000000005372e-06,2.845852791031414641e-01,2.351085840000000093e-02
1.572000000000005447e-06,2.834893459248207237e-01,2.360552919999999930e-02
1.573000000000005522e-06,2.740466427270945582e-01,2.357939629999999953e-02
1.574000000000005598e-06,2.719436488878840819e-01,2.363546750000000002e-02
1.575000000000005673e-06,2.796311201809576485e-01,2.379109150000000006e-02
1.576000000000005748e-06,2.833330140435754152e-01,2.392556699999999828e-02
1.577000000000005823e-06,2.815942042430121250e-01,2.398737709999999856e-02
1.578000000000005898e-06,2.762151639384218260e-01,2.392083589999999954e-02
1.579000000000005973e-06,2.772874299777529083e-01,2.402782809999999894e-02
1.580000000000006048e-06,2.784342394378310215e-01,2.407871370000000052e-02
1.581000000000006123e-06,2.795905479523621562e-01,2.417114379999999937e-02
1.582000000000006199e-06,2.821253462364895492e-01,2.423207280000000061e-02
1.583000000000006274e-06,2.832006712975628226e-01,2.426060849999999922e-02
1.584000000000006349e-06,2.806272327937433531e-01,2.428718100000000144e-02
1.585000000000006424e-06,2.741849425057872325e-01,2.415030640000000173e-02
1.586000000000006499e-06,2.716913604677775873e-01,2.413637000000000074e-02
1.587000000000006574e-06,2.764317101580096581e-01,2.421221700000000115e-02
1.588000000000006649e-06,2.829904041123247338e-01,2.425886320000000124e-02
1.589000000000006724e-06,2.831504390144088390e-01,2.430343260000000088e-02
1.590000000000006800e-06,2.836588798805098066e-01,2.426284739999999898e-02
1.591000000000006875e-06,2.852896580745303279e-01,2.419740890000000172e-02
1.592000000000006950e-06,2.824603891248697041e-01,2.411489370000000076e-02
1.593000000000007025e-06,2.828096000931923371e-01,2.406950110000000143e-02
1.594000000000007100e-06,2.844527753561034156e-01,2.404952609999999949e-02
1.595000000000007175e-06,2.885080662249902561e-01,2.394095250000000119e-02
1.596000000000007250e-06,2.895587581520990272e-01,2.390296940000000148e-02
1.597000000000007326e-06,2.805172691740961399e-01,2.368734219999999932e-02
1.598000000000007401e-06,2.826587422428749607e-01,2.352502199999999960e-02
1.599000000000007476e-06,2.891039305862510012e-01,2.352623829999999847e-02
1.600000000000007551e-06,2.885064562159125323e-01,2.335251309999999969e-02
1.601000000000007626e-06,2.923875441137563924e-01,2.327931670000000022e-02
1.602000000000007701e-06,2.902294879362087854e-01,2.310372330000000016e-02
1.603000000000007776e-06,2.886632711004755714e-01,2.286424670000000020e-02
1.604000000000007851e-06,2.851911255189709671e-01,2.260834910000000114e-02
1.605000000000007927e-06,2.794224630053255276e-01,2.226571550000000163e-02
1.606000000000008002e-06,2.891873290567190669e-01,2.220701799999999851e-02
1.607000000000008077e-06,2.916066897071258324e-01,2.201702820000000019e-02
1.608000000000008152e-06,2.907396998149374689e-01,2.157338890000000051e-02
1.609000000000008227e-06,2.837411513442955613e-01,2.126990260000000132e-02
1.610000000000008302e-06,2.797784360109918933e-01,2.089254559999999955e-02
1.611000000000008377e-06,2.857977769396014001e-01,2.060237150000000100e-02
1.612000000000008452e-06,2.891068286026003409e-01,2.031837029999999933e-02
1.613000000000008528e-06,2.899760725064551847e-01,1.990351829999999905e-02
1.614000000000008603e-06,2.900465909043144497e-01,1.953553410000000157e-02
1.615000000000008678e-06,2.822601039960052072e-01,1.889665050000000068e-02
1.616000000000008753e-06,2.741395402501483058e-01,1.822000929999999935e-02
1.617000000000008828e-06,2.703574679601752906e-01,1.765005479999999863e-02
1.618000000000008903e-06,2.714360130305014107e-01,1.704468389999999958e-02
1.619000000000008978e-06,2.744286978782786157e-01,1.666011480000000045e-02
1.620000000000009053e-06,2.652883544404882055e-01,1.593783680000000064e-02
